Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Analysis
GO_Biological_Process_2023,Sensory Perception Of Bitter Taste (GO:0050913),1/42,0.1334105698458863,0.2149392514183725,0,0,7.240990171095741,14.585699665663611,PIGR,GO Biological Process
Reactome_2022,Signaling By FGFR1 In Disease R-HSA-5655302,1/36,0.1154849581798632,0.2154570115295955,0,0,8.484861407249467,18.315549019302413,FGF4,Reactome Pathways
Reactome_2022,Aberrant Regulation Of Mitotic Cell Cycle Due To RB1 Defects R-HSA-9687139,1/36,0.1154849581798632,0.2154570115295955,0,0,8.484861407249467,18.315549019302413,CCND1,Reactome Pathways
Reactome_2022,Glutathione Conjugation R-HSA-156590,1/36,0.1154849581798632,0.2154570115295955,0,0,8.484861407249467,18.315549019302413,GSTM1,Reactome Pathways
GO_Biological_Process_2023,Intracellular Monoatomic Cation Homeostasis (GO:0030003),2/190,0.1364802257051114,0.2155576618529202,0,0,3.1824629271437783,6.338115327368072,CSRP3;TRDN,GO Biological Process
GO_Biological_Process_2023,Skeletal System Morphogenesis (GO:0048705),1/43,0.1363631698897331,0.2155576618529202,0,0,7.068230277185501,14.082979394345454,LTF,GO Biological Process
GO_Biological_Process_2023,Positive Regulation Of T Cell Mediated Immunity (GO:0002711),1/43,0.1363631698897331,0.2155576618529202,0,0,7.068230277185501,14.082979394345454,FADD,GO Biological Process
GO_Biological_Process_2023,Learning (GO:0007612),1/43,0.1363631698897331,0.2155576618529202,0,0,7.068230277185501,14.082979394345454,SHANK2,GO Biological Process
GO_Biological_Process_2023,Endocytosis (GO:0006897),2/189,0.1353272355376895,0.2155576618529202,0,0,3.199643493761141,6.399477259656181,CTTN;MYL1,GO Biological Process
GO_Biological_Process_2023,Defense Response To Virus (GO:0051607),2/189,0.1353272355376895,0.2155576618529202,0,0,3.199643493761141,6.399477259656181,BPIFA1;FADD,GO Biological Process
GO_Biological_Process_2023,Positive Regulation Of Protein Phosphorylation (GO:0001934),3/377,0.1368550672615903,0.2155576618529202,0,0,2.413574660633484,4.800196489727134,CCND1;FGF3;FGF4,GO Biological Process
GO_Biological_Process_2023,Positive Regulation Of Cytokine-Mediated Signaling Pathway (GO:0001961),1/44,0.1393058574657912,0.2173347712994781,0,0,6.9035057271780635,13.607385194038669,FADD,GO Biological Process
GO_Biological_Process_2023,Bone Development (GO:0060348),1/44,0.1393058574657912,0.2173347712994781,0,0,6.9035057271780635,13.607385194038669,LTF,GO Biological Process
GO_Biological_Process_2023,Positive Regulation Of Osteoblast Differentiation (GO:0045669),1/44,0.1393058574657912,0.2173347712994781,0,0,6.9035057271780635,13.607385194038669,LTF,GO Biological Process
GO_Biological_Process_2023,Regulation Of Cell Differentiation (GO:0045595),2/193,0.1399525174977682,0.2176548615974755,0,0,3.1320006346184357,6.158929145691244,PRAME;KLHL41,GO Biological Process
GO_Biological_Process_2023,Epidermal Growth Factor Receptor Signaling Pathway (GO:0007173),1/45,0.1422386653344871,0.2177753478568389,0,0,6.746268656716418,13.156902962469523,PIGR,GO Biological Process
GO_Biological_Process_2023,Positive Regulation Of Innate Immune Response (GO:0045089),1/45,0.1422386653344871,0.2177753478568389,0,0,6.746268656716418,13.156902962469523,FADD,GO Biological Process
GO_Biological_Process_2023,Zymogen Activation (GO:0031638),1/45,0.1422386653344871,0.2177753478568389,0,0,6.746268656716418,13.156902962469523,FADD,GO Biological Process
GO_Biological_Process_2023,Negative Regulation Of Response To Biotic Stimulus (GO:0002832),1/45,0.1422386653344871,0.2177753478568389,0,0,6.746268656716418,13.156902962469523,LTF,GO Biological Process
GO_Biological_Process_2023,Detection Of Chemical Stimulus Involved In Sensory Perception Of Taste (GO:0050912),1/45,0.1422386653344871,0.2177753478568389,0,0,6.746268656716418,13.156902962469523,PIGR,GO Biological Process
GO_Biological_Process_2023,Positive Regulation Of Protein Metabolic Process (GO:0051247),2/196,0.1434442101464627,0.2189411628551272,0,0,3.08309903155264,5.9867897521058895,FADD;ASB5,GO Biological Process
Reactome_2022,NCAM1 Interactions R-HSA-419037,1/37,0.1184977275216925,0.2194402361512824,0,0,8.248756218905474,17.593454526083946,CACNA1S,Reactome Pathways
GO_Biological_Process_2023,T Cell Differentiation (GO:0030217),1/46,0.1451616261787413,0.2201990206342138,0,0,6.596019900497512,12.729708236779256,FADD,GO Biological Process
GO_Biological_Process_2023,Epithelial Cell Migration (GO:0010631),1/46,0.1451616261787413,0.2201990206342138,0,0,6.596019900497512,12.729708236779256,KRT2,GO Biological Process
GO_Cellular_Component_2023,Cul2-RING Ubiquitin Ligase Complex (GO:0031462),1/23,0.0753834075225752,0.2207656934589704,0,0,13.507462686567164,34.919061481317286,PRAME,GO Cellular Component
CellMarker_2024,Brush Cell (Tuft Cell) Intestinal Crypt Mouse,2/195,0.1422782026803828,0.2218862446563112,0,0,3.0992306484534464,6.043409776008359,PIGR;GSTM1,CellMarker
Reactome_2022,Diseases Of Mitotic Cell Cycle R-HSA-9675126,1/38,0.1215003854533458,0.2233462967892386,0,0,8.025413473174668,16.916270230507074,CCND1,Reactome Pathways
PanglaoDB_Augmented_2021,Cardiac Stem And Precursor Cells,2/113,0.0566311064322393,0.2233782531493885,0,0,5.4111384111384115,15.536443621202164,CCND1;ANKRD1,PanglaoDB
CellMarker_2024,Olfactory Ensheathing Glia Brain Mouse,1/46,0.1451616261787413,0.2237196826990014,0,0,6.596019900497512,12.729708236779256,MYBPC1,CellMarker
Reactome_2022,Transcriptional Regulation By VENTX R-HSA-8853884,1/39,0.1244929653895161,0.2255307344012972,0,0,7.813825608798115,16.280153066858286,CCND1,Reactome Pathways
Reactome_2022,Signaling By FGFR3 R-HSA-5654741,1/39,0.1244929653895161,0.2255307344012972,0,0,7.813825608798115,16.280153066858286,FGF4,Reactome Pathways
GO_Biological_Process_2023,Organic Substance Transport (GO:0071702),2/201,0.1493048158767514,0.2257891847461303,0,0,3.0048728490939545,5.714562971156946,SLN;CACNA1S,GO Biological Process
GO_Biological_Process_2023,Cellular Response To Mechanical Stimulus (GO:0071260),1/48,0.1509781369528721,0.2269275046273352,0,0,6.314703080342966,11.938705459864398,FADD,GO Biological Process
GO_Biological_Process_2023,Cytoplasmic Microtubule Organization (GO:0031122),1/48,0.1509781369528721,0.2269275046273352,0,0,6.314703080342966,11.938705459864398,TRDN,GO Biological Process
Reactome_2022,Signaling By FGFR4 R-HSA-5654743,1/40,0.1274755006404551,0.2276348225722413,0,0,7.6130884041331806,15.6816761453018,FGF4,Reactome Pathways
Reactome_2022,Neurotransmitter Receptors And Postsynaptic Signal Transmission R-HSA-112314,2/182,0.1273213690399559,0.2276348225722413,0,0,3.3252525252525253,6.853481536772197,CHRND;ACTN2,Reactome Pathways
GO_Biological_Process_2023,Negative Regulation Of Tumor Necrosis Factor Superfamily Cytokine Production (GO:1903556),1/49,0.1538717517089819,0.2284902819052051,0,0,6.182835820895522,11.572016896560733,LTF,GO Biological Process
GO_Biological_Process_2023,Defense Response To Bacterium (GO:0042742),2/204,0.1528446769600423,0.2284902819052051,0,0,2.95979597959796,5.559482628989288,BPIFA1;LTF,GO Biological Process
GO_Biological_Process_2023,Negative Regulation Of DNA Metabolic Process (GO:0051053),1/49,0.1538717517089819,0.2284902819052051,0,0,6.182835820895522,11.572016896560733,ANKRD1,GO Biological Process
GO_Biological_Process_2023,Regulation Of Cell Communication (GO:0010646),1/49,0.1538717517089819,0.2284902819052051,0,0,6.182835820895522,11.572016896560733,TRDN,GO Biological Process
Cancer_Cell_Line_Encyclopedia,CAL29 URINARY TRACT,2/69,0.0230828770826961,0.2303761653939673,0,0,8.984622342831297,33.86002446746899,SPRR3;UPK1B,Cancer Cell Line Encyclopedia
Cancer_Cell_Line_Encyclopedia,RERFLCAD2 LUNG,2/68,0.02246243390249,0.2303761653939673,0,0,9.12121212121212,34.623309145572826,SPRR3;UPK1B,Cancer Cell Line Encyclopedia
Cancer_Cell_Line_Encyclopedia,HT1376 URINARY TRACT,3/177,0.0224438335326234,0.2303761653939673,0,0,5.240848806366047,19.89813703796136,SPRR3;UPK1B;KRT24,Cancer Cell Line Encyclopedia
Cancer_Cell_Line_Encyclopedia,LOVO LARGE INTESTINE,2/69,0.0230828770826961,0.2303761653939673,0,0,8.984622342831297,33.86002446746899,SPINK7;SPINK6,Cancer Cell Line Encyclopedia
GO_Cellular_Component_2023,Cell-Cell Junction (GO:0005911),3/299,0.0816699189731661,0.2309287364068835,0,0,3.0617463617463616,7.669887530841718,MYH2;DES;NRAP,GO Cellular Component
Reactome_2022,Signaling By Retinoic Acid R-HSA-5362517,1/41,0.1304480244280874,0.2312908234540556,0,0,7.422388059701492,15.117774608767611,ADH7,Reactome Pathways
