Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Analysis
CellMarker_2024,Fibroblast Muscle Human,2/8,0.00031474126366608674,0.0034359254616881,0,0,100.63636363636364,811.5074475931799,MYH1;MYH7,CellMarker
PanglaoDB_Augmented_2021,Salivary Mucous Cells,4/105,0.0004512442209666195,0.0035598155209588,0,0,12.271658415841584,94.53474337185132,ANO1;LCE3D;SPRR2G;RPTN,PanglaoDB
GO_Biological_Process_2023,Muscle Tissue Development (GO:0060537),3/37,0.00026886963687817376,0.003582506242728,0,0,27.010859728506787,222.06394667301703,MYOG;CSRP3;MYF6,GO Biological Process
GO_Biological_Process_2023,Muscle Cell Differentiation (GO:0042692),3/37,0.00026886963687817376,0.003582506242728,0,0,27.010859728506787,222.06394667301703,MYOG;ACTN2;MYF6,GO Biological Process
KEGG_2021_Human,Adrenergic signaling in cardiomyocytes,5/150,0.00015818100130258317,0.0037403120603611,0,0,10.83032293377121,94.78450187002986,ACTC1;TNNC1;MYL2;CACNA1S;MYH7,KEGG Pathways
KEGG_2021_Human,Chemical carcinogenesis,6/239,0.00016122034742936192,0.0037403120603611,0,0,8.181780423646684,71.44934899502134,GSTM1;CCND1;CACNA1S;FGF3;UGT1A7;FGF4,KEGG Pathways
Cancer_Cell_Line_Encyclopedia,RH30 SOFT TISSUE,7/315,9.577071289703075e-05,0.0037497917588145,0,0,7.311475409836065,67.65712982382988,MYOG;CHRND;C10ORF71;ACTC1;DES;MYL1;ASB5,Cancer Cell Line Encyclopedia
GO_Biological_Process_2023,Positive Regulation Of Myoblast Differentiation (GO:0045663),3/38,0.00029120715321542454,0.0037780296456632,0,0,26.237802197802196,213.6144284200033,MYOG;MYF6;SMYD1,GO Biological Process
GO_Biological_Process_2023,Skeletal Myofibril Assembly (GO:0014866),2/8,0.00031474126366608674,0.0038791860746845,0,0,100.63636363636364,811.5074475931799,ACTC1;TCAP,GO Biological Process
GO_Biological_Process_2023,Adult Heart Development (GO:0007512),2/8,0.00031474126366608674,0.0038791860746845,0,0,100.63636363636364,811.5074475931799,TCAP;MYH7,GO Biological Process
CellMarker_2024,Goblet Cell Airway Epithelium Human,2/9,0.00040377900206164984,0.004068849943852,0,0,86.25541125541126,674.0552332096978,SCGB3A1;MUC5B,CellMarker
GO_Cellular_Component_2023,Sarcoplasmic Reticulum (GO:0016529),3/45,0.0004815756056455739,0.0043876888514374,0,0,21.857142857142858,166.9546342358889,SLN;KLHL41;TRDN,GO Cellular Component
CellMarker_2024,Club Cell (Clara Cell) Airway Epithelium Human,2/10,0.0005036159037475685,0.0047124059564951,0,0,75.46969696969697,573.09398703068,SCGB3A1;MUC5B,CellMarker
GO_Biological_Process_2023,Cardiac Ventricle Morphogenesis (GO:0003208),3/42,0.0003924528755522667,0.0047190065279821,0,0,23.542011834319528,184.64221389004297,TNNC1;MYL2;MYH7,GO Biological Process
GO_Biological_Process_2023,Positive Regulation Of Skeletal Muscle Tissue Development (GO:0048643),2/9,0.00040377900206164984,0.0047395963813426,0,0,86.25541125541126,674.0552332096978,MYOG;MYF6,GO Biological Process
GO_Biological_Process_2023,Sarcoplasmic Reticulum Calcium Ion Transport (GO:0070296),2/10,0.0005036159037475685,0.0057740148964546,0,0,75.46969696969697,573.09398703068,SLN;TRDN,GO Biological Process
GO_Biological_Process_2023,Regulation Of Muscle System Process (GO:0090257),2/11,0.0006141796834823028,0.0068816041808358,0,0,67.08080808080808,496.077536690995,SLN;TNNC1,GO Biological Process
GO_Cellular_Component_2023,Actin Cytoskeleton (GO:0015629),6/327,0.0008521710408473169,0.0069878025349479,0,0,5.912270123605667,41.786289303267914,ACTA1;ACTC1;CTTN;ACTN2;MYL2;LMOD2,GO Cellular Component
GO_Biological_Process_2023,Blood Circulation (GO:0008015),3/50,0.0006571555344566322,0.0071995039663804,0,0,19.527004909983635,143.08588265054038,ACTC1;MYL2;TRDN,GO Biological Process
